Type	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11	DBS12	DBS13	DBS14	DBS15	DBS16	DBS17	DBS18	DBS19	DBS20	DBS21	DBS22
CT>TC	0.0102128037222579	3.71470139532468e-05	0.00696595029618678	7.20280786474966e-18	0.000239253625742119	8.5504251537947e-18	0.0757852322163978	0.018155574682643	3.08739936156661e-05	0.00286302064331739	0.00299557920778616	0.00910474528534755	0.00879405440357285	0.0341611349414329	0.0686493978361212	0.0991083799809506	0.0196962948652573	0.00649980798264535	0.04827865556529	0.000745878597213231	0.0566379103293284	0.00447194938866721
CT>TG	0.00217873108475337	0.000377354652185531	0.0573537265356012	3.16923546048985e-05	0.00088231160175514	0.0115403996318759	1.08448603043469e-17	0.000985297400481159	9.73559932014005e-18	0.0475782011772941	0.0014827615910997	0.00318509417218684	0.00404364485477662	0.000460272880684886	7.45133643012702e-06	0.00690714755723644	0.0256975847523817	0.0026695426920292	0.0142707547105488	0.00678693690505434	0.000654551172263435	0.0052123520794742
GC>AA	0.00154491114663893	0.00494127380057956	2.38681432025895e-05	0.339440042577054	0.000134974952232247	8.59564239015343e-18	1.09022112082889e-17	0.0132272733618508	9.33187090152466e-18	0.00427014503006753	0.001007164355282	0.0267567757045981	3.31352714793541e-08	0.000259600188643707	0.0454540633774737	0.0167778719012959	0.13310545203642	0.0360108407267801	0.0139883717845783	0.0115701508731282	0.0168324475189656	4.3289938245682e-07
GC>AG	0.000104623510531703	0.000316125019426124	0.000576570359270699	0.0116941234751329	0.00269949802971172	0.00379118056954672	8.80377675005633e-05	0.00873615320672206	0.128244693581065	7.7550004994392e-18	0.00331357044685259	0.0103860241215378	0.017626254688557	0.000593896781281051	0.00407123452513503	0.00809345988667195	0.0199812519378462	0.0437242317450515	0.00420378843000063	0.011037512242695	0.00397359704252141	0.0319117798135314
GC>AT	4.76063513215725e-05	0.000926975506021863	0.00440711783154931	0.00956227469145759	0.00159331217834472	0.00194738213703273	0.000421916779757596	0.00564978911456979	0.130313156564314	0.00811118212561696	0.0273948660318459	0.00701758179619496	0.018045101139628	3.07448954947979e-07	0.150456313599555	0.00435604676993942	0.0488862345632999	0.05240143560181	0.00416258309370906	0.0191233845465859	0.00581358386544206	0.0136345461572523
GC>CA	5.6306485341326e-05	0.00103105289214304	0.000261776070587659	0.0123150501747726	0.00464800739735534	0.00900146545102301	0.000807668127024688	0.0049525377054133	0.0283379402840631	0.000109893903838544	0.00212511626588394	0.00530724510006631	0.0108018990674066	0.000194575357038515	0.00123606154808088	0.00403055845457702	0.0119961261624708	0.0242113609506523	0.00110608162055181	0.0113261635451152	0.00334099178186567	0.00650666777171337
GC>CG	5.03434721367759e-06	6.50593067921203e-05	1.22655735902196e-17	1.0168290312272e-06	0.000327796022583112	9.36200086831169e-18	0.00319450828160507	0.000248139598790575	0.00258557898770426	7.7550004994392e-18	0.0040689437133141	0.00102009583152275	0.000898359533199923	0.00071249365973647	0.000364841641323956	0.00134465752217012	0.000390798673202199	0.0020006356299004	0.000195345701760284	0.00111626986252995	1.00235365738489e-05	0.000199503264183395
GC>TA	8.08428183633274e-07	0.000715901331104038	0.00467220781701959	0.0183173433286454	0.000225296903100396	0.000858712959732848	7.52542012607554e-06	0.00877716721111056	0.0144792398481628	0.0029409578290803	0.000244740458890691	0.000776028749589807	3.5212717967088e-05	7.89160475453519e-06	0.0017642189883718	0.000714543837217502	0.00925403922674245	0.0196670036064129	0.000970868392259644	0.000356936849656763	0.00217377171328634	0.000249360602816568
TA>AT	0.000384542813255651	0.00208312451934244	0.0012472604894426	0.0245002280270382	0.00147791738404192	0.0069132390166192	0.0523841203351199	0.0077456822963111	0.0124840856945321	0.00847662781214337	0.00174909122311553	0.00643186531431398	0.00505244796582614	0.0101429418678532	0.020455869234774	0.00701856562627349	0.0072127621324902	0.00841284439504041	0.00813429171967219	0.142413387123278	0.0963242631362731	0.00664092824617865
TA>CG	5.74764859615813e-06	1.43137173934724e-05	0.00287299951356687	0.000313506589672567	6.23622513968585e-06	0.00020893020117262	0.00286328991083314	1.669508673681e-05	0.00108732357975452	0.00334989791766336	0.000458057818582496	0.000428439422163523	0.000197953968015987	0.000142233633887092	0.0123869824243328	0.00104380039048829	0.0059979047800046	0.00155032788185915	0.000483318016030389	0.00570108069855191	0.00119685230200845	5.79859442401417e-05
