Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP.Syn.Abst.859	11108	1.0	24.405	0.22%	2.841	0.219%	1e-05	1.0
SP.Syn.Abst.860	10919	1.0	22.763	0.208%	2.71	0.21%	0.0	1.0
SP.Syn.Abst.861	11727	0.999	475.718	4.057%	68.349	5.013%	0.0027	0.995
SP.Syn.Abst.862	5907	0.999	162.624	2.753%	23.262	3.318%	0.00164	0.998
SP.Syn.Abst.863	6032	1.0	24.33	0.403%	2.846	0.387%	2e-05	1.0
SP.Syn.Abst.864	4509	1.0	24.479	0.543%	2.895	0.529%	4e-05	1.0
SP.Syn.Abst.865	5318	1.0	26.23	0.493%	2.973	0.483%	3e-05	1.0
SP.Syn.Abst.866	8801	1.0	125.975	1.431%	18.17	1.779%	0.00037	0.999
SP.Syn.Abst.867	8824	0.999	294.632	3.339%	42.973	4.089%	0.00228	0.997
SP.Syn.Abst.868	7355	0.999	200.974	2.732%	29.172	3.425%	0.00125	0.998
SP.Syn.Abst.869	15296	1.0	25.849	0.169%	3.027	0.171%	0.0	1.0
SP.Syn.Abst.870	3387	0.999	103.118	3.045%	14.56	3.703%	0.00138	0.997
SP.Syn.Abst.871	12180	1.0	240.071	1.971%	35.192	2.49%	0.00067	0.999
SP.Syn.Abst.872	6159	0.999	257.448	4.18%	37.74	5.277%	0.00287	0.994
SP.Syn.Abst.873	5929	1.0	22.927	0.387%	2.744	0.399%	2e-05	1.0
SP.Syn.Abst.874	10737	1.0	141.804	1.321%	20.171	1.619%	0.00031	0.999
SP.Syn.Abst.875	8318	1.0	190.701	2.293%	27.423	2.844%	0.00089	0.998
SP.Syn.Abst.876	9289	1.0	22.724	0.245%	2.727	0.253%	1e-05	1.0
SP.Syn.Abst.877	5080	1.0	124.737	2.455%	17.754	2.988%	0.00106	0.998
SP.Syn.Abst.878	17950	1.0	297.46	1.657%	43.014	2.066%	0.00049	0.999
SP.Syn.Abst.879	10149	1.0	25.408	0.25%	2.946	0.251%	1e-05	1.0
SP.Syn.Abst.880	10035	1.0	22.549	0.225%	2.67	0.226%	1e-05	1.0
SP.Syn.Abst.881	5406	1.0	24.075	0.445%	2.91	0.464%	2e-05	1.0
SP.Syn.Abst.882	8724	1.0	21.403	0.245%	2.578	0.251%	1e-05	1.0
SP.Syn.Abst.883	19406	1.0	415.191	2.139%	60.251	2.678%	0.00079	0.998
SP.Syn.Abst.884	9853	0.999	396.252	4.022%	57.32	5.023%	0.00263	0.995
SP.Syn.Abst.885	13972	1.0	360.027	2.577%	52.489	3.164%	0.00146	0.998
SP.Syn.Abst.886	17682	1.0	21.838	0.124%	2.615	0.128%	0.0	1.0
SP.Syn.Abst.887	8246	1.0	202.009	2.45%	28.836	2.988%	0.00113	0.998
SP.Syn.Abst.888	15190	0.999	387.065	2.548%	56.028	3.184%	0.00107	0.998
SP.Syn.Abst.889	6670	1.0	25.443	0.381%	2.899	0.374%	2e-05	1.0
SP.Syn.Abst.890	7415	1.0	130.461	1.759%	18.702	2.155%	0.00063	0.999
SP.Syn.Abst.891	15978	1.0	217.946	1.364%	31.601	1.705%	0.00035	0.999
SP.Syn.Abst.892	6726	0.999	213.643	3.176%	31.004	3.959%	0.00176	0.997
SP.Syn.Abst.893	9808	1.0	22.929	0.234%	2.678	0.23%	2e-05	1.0
SP.Syn.Abst.894	4291	1.0	80.138	1.868%	11.544	2.308%	0.00064	0.999
SP.Syn.Abst.895	6018	1.0	23.897	0.397%	2.831	0.405%	2e-05	1.0
SP.Syn.Abst.896	13365	1.0	292.255	2.187%	41.74	2.675%	0.00086	0.999
SP.Syn.Abst.897	16782	1.0	171.311	1.021%	24.656	1.266%	0.00018	1.0
SP.Syn.Abst.898	2576	1.0	24.305	0.944%	2.896	0.927%	0.00011	1.0
SP.Syn.Abst.899	8867	1.0	118.504	1.336%	16.36	1.568%	0.0003	1.0
SP.Syn.Abst.900	6493	0.999	206.152	3.175%	29.983	3.986%	0.00167	0.997
SP.Syn.Abst.901	6372	1.0	23.939	0.376%	2.804	0.374%	2e-05	1.0
SP.Syn.Abst.902	7009	1.0	100.911	1.44%	14.291	1.739%	0.0004	0.999
SP.Syn.Abst.903	8650	1.0	24.053	0.278%	2.854	0.285%	1e-05	1.0
SP.Syn.Abst.904	9760	1.0	22.082	0.226%	2.63	0.228%	1e-05	1.0
SP.Syn.Abst.905	6278	0.999	213.0	3.393%	30.876	4.223%	0.00201	0.996
SP.Syn.Abst.906	16433	1.0	117.55	0.715%	16.746	0.864%	0.00013	1.0
SP.Syn.Abst.907	6425	1.0	24.515	0.382%	2.881	0.384%	2e-05	1.0
SP.Syn.Abst.908	11215	1.0	21.317	0.19%	2.627	0.199%	0.0	1.0
SP.Syn.Abst.909	11852	1.0	67.973	0.574%	9.393	0.682%	4e-05	1.0
SP.Syn.Abst.910	7894	1.0	23.279	0.295%	2.842	0.304%	1e-05	1.0
SP.Syn.Abst.911	5355	1.0	110.675	2.067%	15.651	2.468%	0.0008	0.999
