Type	ID1	ID2	ID3	ID4	ID5	ID6	ID7	ID8	ID9	ID10	ID11	ID12	ID13	ID14	ID15	ID16	ID17	ID18	ID19	ID20	ID21	ID22	ID23
1:Ins:C:2	3.31E-18	2.62E-05	0.001747946	6.88E-05	0.003151667	0.000246169	2.58E-05	0.001527	0.000352623	0.000272059	0.093738843	0.001596586	0.00082125	0.00065885	6.58E-18	0.124683558	0.029260405	1.00E-18	0.015408145	0.028439758	0.000154396	0.00175219	0.00147472
1:Ins:C:3	0.000845986	0.00043005	0.006177647	0.000512481	0.000602848	0.000232169	0.002407735	0.000116524	5.41E-18	0.002580556	0.03617564	0.000450319	0.000375555	0.001564403	6.58E-18	0.098883121	0.049254522	1.00E-18	0.007187529	0.203771492	0.000210735	0.014026027	0.00171284
1:Ins:C:4	0.001785525	0.002911846	0.007104447	6.62E-18	0.000197582	0.000376592	0.015485431	0.000554177	2.16E-06	0.000411089	0.011189789	0.00439393	0.000148578	0.001539502	6.58E-18	0.062094379	0.024538408	1.00E-18	0.010283472	0.376913489	0.00047283	0.021103546	0.00010835
1:Ins:C:5	0.024296536	0.009017536	0.007351101	0.000249143	0.000433544	0.000247997	0.060343229	0.000489489	7.37E-05	0.000851184	0.003412242	0.01705149	0.000706981	0.002292999	6.58E-18	0.031034603	0.009790503	1.00E-18	0.027969581	0.229282853	0.001820848	0.01139551	0.00126133
1:Ins:T:0	0.002283824	0.001328556	0.018722365	0.000333665	0.006361965	0.006396251	1.36E-06	0.004507979	0.012614484	0.017003667	0.000406945	0.004265301	0.041137013	0.032612007	6.58E-18	0.030194287	0.004892794	1.00E-18	0.018089253	0.001320223	0.007152362	0.00331705	0.00623642
1:Ins:T:1	4.03E-05	3.95E-18	0.043119029	0.001010044	0.013462697	0.001041187	0.000373648	0.004868696	0.010385274	0.043809449	0.314277276	0.002496518	0.004748853	0.003165883	6.58E-18	0.103160227	0.038893641	0.002004016	0.028089646	0.008660094	0.022054862	0.007960156	0.01262155
1:Ins:T:2	0.000192865	0.000647033	0.04015704	1.06E-05	0.029721144	0.000738848	0.018382706	0.001429636	0.002314663	0.003650787	0.161807823	1.42E-17	0.003054171	0.001774606	6.58E-18	0.108738483	0.043924608	1.00E-18	0.011563009	0.004854207	0.001713	0.004635919	0.0105721
1:Ins:T:3	0.004243267	0.001082879	0.025125434	0.000173935	0.01884025	0.000930638	0.008891635	0.001087286	0.001600885	0.003750809	0.107725327	0.000105674	0.009271857	0.001173836	6.58E-18	0.100939445	0.004872091	0.002000008	0.006792575	0.003634998	0.002741801	0.002279392	0.00581943
1:Ins:T:4	0.016649127	0.003487461	0.006563305	1.60E-05	0.011268752	0.001349852	0.012787969	0.000822618	0.001585355	9.66E-06	0.04903068	0.00033648	0.012098641	0.004784999	6.58E-18	0.051962376	0.004903486	0.008016064	0.006701586	0.00233315	0.000543914	0.000519919	0.00330097
1:Ins:T:5	0.890906468	0.003132585	0.026181239	0.000832926	0.001439215	0.014390041	0.010789849	0.020161248	0.00577248	1.11E-08	0.023629043	0.00016655	0.011099794	0.232747555	6.58E-18	0.035007686	0.00487383	0.004008032	0.010733883	0.051457761	0.016359294	0.017875614	0.00027934
2:Del:R:0	0.000686046	0.000163809	0.006897553	0.071724214	0.028054407	0.001783647	2.33E-05	0.008769219	0.013174747	0.000839181	9.08E-18	0.006268105	0.022184399	0.000661996	6.58E-18	0.001922942	0.014682054	1.00E-18	0.002382332	0.002703211	0.005974766	0.003117327	0.02385067
2:Del:R:1	0.001219969	0.003568885	0.008474654	0.230512879	0.024562729	0.002454347	0.008182302	0.010307145	0.003198541	0.009472042	0.001363099	0.000278425	0.004333215	0.006600036	6.58E-18	0.002014646	0.008535951	0.036072289	0.001512093	0.002072556	0.058327989	0.001516385	0.05613034
2:Del:R:2	0.000472749	0.001849574	0.011800641	0.055059396	0.004562618	0.0020886	0.008991541	0.000532026	0.001189697	0.006541411	0.000150729	0.001398167	0.003108924	0.00270193	6.58E-18	0.001116794	1.46E-08	0.002004016	0.004762349	0.000586319	0.008209245	0.000388753	0.02322644
2:Del:R:3	0.00042672	0.000739044	0.006671125	0.012811006	0.000395919	0.000525746	0.072132138	2.71E-05	9.59E-05	0.00018504	9.08E-18	0.00067331	0.000105566	0.000392799	6.58E-18	0.000472257	3.50E-08	1.00E-18	0.000529949	0.000255389	0.003128391	0.000434173	0.00668162
2:Del:R:4	5.46E-05	0.000881932	0.002822525	0.003219218	0.000867563	0.000232527	0.052250842	0.000274027	5.41E-18	8.42E-18	9.13E-06	0.011980739	6.13E-06	1.41E-06	6.58E-18	3.88E-05	4.34E-08	0.002004016	4.58E-05	1.09E-08	0.001925763	0.000737297	0.00180121
2:Del:R:5	3.31E-18	4.67E-18	0.000101239	0.002382721	0.02142678	0.000215685	0.057046331	0.000833079	5.41E-18	8.42E-18	0.004527713	0.251519844	6.63E-05	4.37E-05	6.58E-18	2.64E-18	3.89E-08	1.00E-18	6.84E-06	1.35E-08	0.002766509	0.001011988	0.00049256
