NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
65	2206.941	41.952	81.544	40.345	0.18	0.821	100000.0
66	2207.37	41.956	81.573	40.346	0.18	0.821	130000.0
67	2206.885	42.072	80.893	40.445	0.181	0.819	80000.0
68	2207.622	42.069	80.87	40.439	0.181	0.819	100000.0
69	2207.518	42.073	80.88	40.44	0.181	0.819	80000.0
70	2207.765	42.075	80.899	40.444	0.181	0.819	70000.0
71	2207.507	42.075	80.846	40.437	0.181	0.819	80000.0
72	2207.076	41.951	81.549	40.344	0.18	0.821	110000.0
73	2207.44	42.072	80.853	40.44	0.181	0.819	150000.0
74	2206.932	42.061	80.876	40.432	0.181	0.819	100000.0
75	2207.145	42.073	80.879	40.445	0.181	0.819	80000.0
76	2207.362	41.959	81.55	40.347	0.18	0.821	70000.0
77	2207.199	41.94	81.562	40.332	0.18	0.822	90000.0
78	2207.423	42.076	80.896	40.444	0.181	0.819	100000.0
79	2206.933	42.073	80.856	40.445	0.181	0.819	80000.0
80	2207.423	42.072	80.904	40.442	0.181	0.819	120000.0
81	2206.872	41.952	81.537	40.344	0.18	0.821	120000.0
82	2208.443	41.947	81.613	40.352	0.18	0.821	70000.0
83	2207.249	41.949	81.575	40.342	0.18	0.821	100000.0
84	2207.229	42.068	80.879	40.437	0.181	0.819	120000.0
85	2207.256	42.062	80.892	40.431	0.181	0.819	120000.0
86	2207.341	41.958	81.538	40.348	0.18	0.821	70000.0
87	2207.622	41.96	81.556	40.35	0.18	0.821	90000.0
88	2207.94	41.941	81.611	40.334	0.18	0.822	110000.0
89	2207.151	42.069	80.879	40.44	0.181	0.819	110000.0
90	2208.093	41.953	81.591	40.349	0.18	0.821	100000.0
91	2208.261	41.95	81.592	40.343	0.18	0.821	70000.0
92	2207.559	41.948	81.557	40.334	0.18	0.822	60000.0
93	2207.106	42.072	80.892	40.444	0.181	0.819	50000.0
94	2207.702	42.076	80.873	40.443	0.181	0.819	120000.0
95	2207.019	41.95	81.554	40.348	0.18	0.821	80000.0
96	2207.038	41.95	81.548	40.342	0.18	0.821	110000.0
97	2207.007	42.066	80.881	40.44	0.181	0.819	80000.0
98	2206.857	41.946	81.558	40.343	0.18	0.821	130000.0
99	2207.122	42.074	80.88	40.445	0.181	0.819	90000.0
100	2206.909	42.072	80.886	40.45	0.181	0.819	60000.0
101	2206.932	42.065	80.863	40.439	0.181	0.819	90000.0
102	2207.303	42.069	80.868	40.433	0.181	0.819	90000.0
103	2207.491	41.947	81.563	40.337	0.18	0.822	80000.0
104	2207.113	41.947	81.555	40.338	0.18	0.822	90000.0
105	2207.518	41.952	81.604	40.343	0.18	0.821	90000.0
106	2207.603	42.072	80.925	40.443	0.181	0.819	70000.0
107	2207.954	41.95	81.582	40.338	0.18	0.821	80000.0
108	2207.282	41.957	81.543	40.348	0.18	0.821	90000.0
109	2207.403	41.954	81.583	40.344	0.18	0.821	130000.0
110	2207.803	41.954	81.56	40.342	0.18	0.821	110000.0
111	2207.177	41.956	81.538	40.346	0.18	0.821	100000.0
112	2206.53	42.069	80.853	40.441	0.181	0.819	90000.0
113	2208.037	41.952	81.592	40.345	0.18	0.821	60000.0
114	2207.328	42.061	80.886	40.431	0.181	0.819	90000.0
115	2207.679	41.941	81.606	40.338	0.18	0.822	140000.0
116	2207.204	42.073	80.859	40.445	0.181	0.819	90000.0
117	2207.861	42.068	80.908	40.438	0.181	0.819	50000.0
118	2207.301	42.076	80.857	40.442	0.181	0.819	90000.0
119	2207.422	42.075	80.895	40.449	0.181	0.819	90000.0
120	2206.894	42.071	80.868	40.447	0.181	0.819	90000.0
121	2207.052	41.952	81.538	40.344	0.18	0.821	120000.0
122	2207.244	41.96	81.564	40.346	0.18	0.821	70000.0
123	2207.287	41.948	81.566	40.342	0.18	0.821	100000.0
124	2207.492	42.076	80.903	40.444	0.181	0.819	110000.0
125	2207.622	41.961	81.57	40.35	0.18	0.821	60000.0
126	2207.132	42.072	80.838	40.44	0.181	0.819	110000.0
127	2206.818	41.947	81.53	40.345	0.18	0.821	100000.0
128	2207.271	41.944	81.562	40.338	0.18	0.822	80000.0
129	2207.159	41.949	81.572	40.34	0.18	0.821	70000.0
130	2207.049	42.062	80.897	40.433	0.181	0.819	90000.0
131	2207.345	42.073	80.891	40.446	0.181	0.819	80000.0
132	2207.24	42.064	80.893	40.44	0.181	0.819	110000.0
133	2207.072	42.064	80.877	40.435	0.181	0.819	80000.0
134	2207.355	42.073	80.907	40.451	0.181	0.819	110000.0
135	2207.261	42.069	80.896	40.436	0.181	0.819	120000.0
136	2207.414	41.951	81.558	40.343	0.18	0.821	110000.0
137	2207.488	41.953	81.573	40.348	0.18	0.821	100000.0
138	2207.09	42.072	80.872	40.442	0.181	0.819	90000.0
139	2207.452	42.072	80.874	40.44	0.181	0.819	110000.0
140	2207.069	42.07	80.861	40.444	0.181	0.819	70000.0
141	2207.067	42.074	80.852	40.436	0.181	0.819	50000.0
142	2207.641	41.955	81.589	40.345	0.18	0.821	150000.0
143	2207.652	41.949	81.584	40.341	0.18	0.821	130000.0
144	2207.095	41.945	81.54	40.335	0.18	0.822	110000.0
