Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PD51292	5835	0.925	2275.401	38.996%	79.823	38.089%	0.14755	0.841
PD51293	2868	0.861	1593.835	55.573%	56.666	50.908%	0.29376	0.737
PD51294	3352	0.861	1800.304	53.708%	64.031	50.915%	0.26842	0.721
PD51295	10111	0.954	3029.453	29.962%	107.953	30.097%	0.08649	0.901
PD51296	3586	0.891	1712.589	47.758%	59.741	45.425%	0.23091	0.775
PD51297	6021	0.921	2383.663	39.589%	87.664	38.912%	0.14996	0.847
PD51298	7076	0.929	2616.16	36.972%	96.389	37.067%	0.13002	0.86
PD51300	3994	0.904	1773.932	44.415%	61.465	42.711%	0.19402	0.796
PD51301	4851	0.908	2046.671	42.191%	74.6	41.884%	0.17905	0.813
PD51302	4263	0.909	1883.045	44.172%	66.995	41.764%	0.19841	0.824
PD51303	5264	0.906	2193.228	41.665%	80.005	42.334%	0.16997	0.799
PD51304	5885	0.92	2263.506	38.462%	80.797	39.174%	0.1436	0.821
PD51305	5802	0.917	2340.674	40.343%	86.522	40.013%	0.15925	0.837
PD51307	5970	0.92	2416.171	40.472%	83.998	39.114%	0.15354	0.832
PD51309	9089	0.945	2900.288	31.91%	103.158	32.757%	0.09513	0.876
PD51312	4458	0.905	1970.169	44.194%	68.74	42.631%	0.18962	0.799
PD51314	6814	0.922	2702.382	39.659%	96.516	38.673%	0.14707	0.842
PD51316	8926	0.949	2820.724	31.601%	103.318	31.578%	0.09795	0.899
PD51318	5182	0.921	2098.079	40.488%	72.804	39.051%	0.15437	0.833
PD51319	1898	0.82	1229.765	64.793%	43.742	57.268%	0.41486	0.673
PD51320	7263	0.938	2468.282	33.984%	87.104	34.581%	0.10986	0.86
PD51321	6916	0.933	2496.875	36.103%	88.038	36.05%	0.12317	0.853
PD51322	7088	0.931	2559.513	36.111%	91.628	36.467%	0.12315	0.851
PD51323	6299	0.928	2371.947	37.656%	85.175	37.162%	0.13607	0.854
PD51324	6563	0.936	2381.385	36.285%	84.597	35.233%	0.1344	0.871
PD51381	6701	0.935	2375.099	35.444%	84.637	35.494%	0.12252	0.861
PD51382	2224	0.838	1371.2	61.655%	50.316	54.588%	0.3624	0.721
PD51385	9358	0.963	2768.091	29.58%	107.385	26.94%	0.09185	0.942
PD51386	4718	0.912	1998.476	42.359%	69.725	41.127%	0.17332	0.812
PD51387	2742	0.864	1558.708	56.846%	54.813	50.395%	0.31168	0.753
PD51389	8937	0.952	2723.802	30.478%	95.47	30.618%	0.09099	0.894
PD51390	6413	0.937	2296.24	35.806%	77.924	35.029%	0.12825	0.856
PD51391	5222	0.912	2213.118	42.381%	77.057	40.985%	0.17059	0.814
PD51393	1878	0.828	1226.33	65.3%	42.685	56.135%	0.40245	0.691
PD51396	6322	0.933	2269.156	35.893%	80.371	35.911%	0.12686	0.855
PD51398	7008	0.932	2514.477	35.88%	91.134	36.146%	0.12626	0.859
PD51399	5604	0.92	2239.6	39.964%	79.731	39.296%	0.15589	0.833
PD51400	4316	0.899	1946.798	45.107%	67.868	43.792%	0.19438	0.783
PD51401	9566	0.942	3050.464	31.889%	116.032	33.627%	0.09582	0.88
PD51402	3823	0.89	1782.524	46.626%	63.918	45.601%	0.21356	0.773
PD51404	6178	0.927	2351.063	38.055%	84.643	37.562%	0.14498	0.851
