Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP.Syn.Abst.922	9469	1.0	24.476	0.258%	2.887	0.263%	1e-05	1.0
SP.Syn.Abst.923	9262	1.0	24.201	0.261%	2.938	0.274%	1e-05	1.0
SP.Syn.Abst.924	6854	1.0	25.353	0.37%	3.038	0.363%	1e-05	1.0
SP.Syn.Abst.925	7428	1.0	21.714	0.292%	2.621	0.301%	1e-05	1.0
SP.Syn.Abst.926	12871	1.0	24.983	0.194%	3.019	0.2%	1e-05	1.0
SP.Syn.Abst.927	17599	1.0	23.732	0.135%	2.974	0.145%	0.0	1.0
SP.Syn.Abst.928	20891	1.0	24.665	0.118%	3.003	0.124%	0.0	1.0
SP.Syn.Abst.929	5241	1.0	23.465	0.448%	2.788	0.456%	2e-05	1.0
SP.Syn.Abst.930	20420	1.0	31.316	0.153%	3.945	0.161%	0.0	1.0
SP.Syn.Abst.931	6454	1.0	25.86	0.401%	3.009	0.401%	2e-05	1.0
SP.Syn.Abst.932	11904	1.0	27.26	0.229%	3.136	0.226%	1e-05	1.0
SP.Syn.Abst.933	10212	1.0	26.007	0.255%	3.078	0.26%	1e-05	1.0
SP.Syn.Abst.934	13034	1.0	25.693	0.197%	3.249	0.209%	1e-05	1.0
SP.Syn.Abst.935	5815	1.0	24.965	0.429%	3.028	0.45%	2e-05	1.0
SP.Syn.Abst.936	18834	1.0	28.954	0.154%	3.473	0.159%	0.0	1.0
SP.Syn.Abst.937	7159	1.0	19.759	0.276%	2.455	0.295%	1e-05	1.0
SP.Syn.Abst.938	7384	1.0	23.623	0.32%	2.826	0.329%	1e-05	1.0
SP.Syn.Abst.939	6645	1.0	25.713	0.387%	3.052	0.394%	2e-05	1.0
SP.Syn.Abst.940	10085	1.0	23.041	0.228%	2.796	0.239%	1e-05	1.0
SP.Syn.Abst.941	10542	1.0	26.515	0.252%	3.113	0.255%	1e-05	1.0
SP.Syn.Abst.942	4442	1.0	25.122	0.566%	2.91	0.54%	4e-05	1.0
SP.Syn.Abst.943	7864	1.0	22.426	0.285%	2.756	0.303%	1e-05	1.0
SP.Syn.Abst.944	8445	1.0	23.96	0.284%	2.814	0.286%	1e-05	1.0
SP.Syn.Abst.945	6652	1.0	25.952	0.39%	3.073	0.393%	2e-05	1.0
SP.Syn.Abst.946	5313	1.0	23.854	0.449%	2.798	0.452%	2e-05	1.0
SP.Syn.Abst.947	3866	1.0	21.439	0.555%	2.584	0.572%	3e-05	1.0
SP.Syn.Abst.948	15842	1.0	27.068	0.171%	3.503	0.191%	0.0	1.0
SP.Syn.Abst.949	5014	1.0	25.865	0.516%	3.1	0.512%	4e-05	1.0
SP.Syn.Abst.950	5742	1.0	24.294	0.423%	2.858	0.418%	2e-05	1.0
SP.Syn.Abst.951	8563	1.0	23.039	0.269%	2.866	0.283%	1e-05	1.0
